question_no,type,category,tags,source_ref,stem,preamble,statement_a,statement_b,statement_c,statement_d,choice_1,choice_2,choice_3,choice_4,correct,explanation,explanation_summary,explanation_correct,explanation_choices,explanation_point
364,single,金融資産運用,FP3級;学科;実践演習;三答択;source:2024-gakka-12-v22,2024-gakka-12,"Ｆ社の株価が2,240円、１株当たり純資産（自己資本）が560円である場合、Ｆ社のＰＢＲ（株価純資産倍率）は、 （   ）である。",,,,,,3.0倍,4.0倍,2.24倍,,2,"正解は2です。PBR＝2,240円÷560円＝4.0倍です。株価を1株当たり純資産で割ります。",2024年学科第12問の22問目の派生。株価と純資産の数値を入れ替えたPBRの演習問題です。,"PBR＝2,240円÷560円＝4.0倍。株価を1株当たり純資産（自己資本）で割ります。","1:3.0倍は純資産の2倍で割るなど、計算式を誤った場合の値です。PBRは株価÷純資産であり、2,240円÷560円＝4.0倍が正しい計算です。純利益はPERの計算に使う数値です。;3:2.24倍は株価の数値（2,240円）をそのまま倍率と混同した誤りです。PBRは株価を純資産で割った商であり、2,240÷560＝4.0倍が正しい計算です。PERやROEとは公式が異なる点に注意してください。",PBR＝株価÷純資産。数値が変わっても公式は同じです。
365,single,金融資産運用,FP3級;学科;実践演習;三答択;source:2026-gakka-11-v29,2026-gakka-11,表面利率（クーポンレート）3.0％、残存期間6年の固定利付債券を額面100円当たり96円で購入した場合の最終利回り（年率・単利）は、 （   ）である。なお、税金等は考慮しないものとし、計算結果は表示単位の小数点以下第3位を四捨五入している。,,,,,,3.82％,3.00％,4.00％,,1,正解は1です。{3.0円＋(100円－96円)÷6年}÷96円×100＝約3.819％となり、小数点以下第3位を四捨五入して3.82％です。,2026年学科第11問の29問目の派生。ディスカウント購入・残存6年の債券最終利回りの演習問題です。,{3.0＋(100－96)÷6}÷96×100≒3.819％→3.82％。購入価格が額面を下回ると償還差益が利回りを押し上げます。,2:3.00％は表面利率そのもので、購入価格96円が額面と異なる場合の償還差益を反映していません。最終利回りは購入価格96円を分母にし、{3.0＋(100－96)÷6}÷96×100で計算します。;3:4.00％は償還差益の按分を誤った場合や、分母に額面100円を使った誤りで出やすい値です。式どおり計算すると3.819％となり、第3位を四捨五入して3.82％が正しい最終利回りです。,最終利回り＝{表面利率＋(額面－購入価格)÷残存期間}÷購入価格×100。ディスカウント購入では利回り上昇。
366,single,金融資産運用,FP3級;学科;実践演習;三答択;source:2026-gakka-12-v18,2026-gakka-12,"下記の〈Ｒ社のデータ〉に基づいて計算したＲ社の配当性向は（ ① ）、配当利回りは（ ② ）である。

〈Ｒ社のデータ〉
株価　　　　　： 4,750円
１株当たり配当金： 95円
１株当たり純利益： 190円
１株当たり純資産　： 1,800円",,,,,,① 40％   ②  2％,① 50％   ②  2％,① 50％   ②  4.75％,,2,"正解は2です。配当性向は95円÷190円×100＝50％です。配当利回りは95円÷4,750円×100＝2％です。",2026年学科第12問の18問目の派生。Ｒ社データで配当性向・配当利回りを求める演習問題です。,"配当性向＝95÷190×100＝50％。配当利回り＝95÷4,750×100＝2％。①50％②2％が正しい組合せです。","1:①40％②2％は配当性向を純資産1,800円で割るなど、分母の取り違えで生じやすい誤りです。配当性向の分母は純利益190円であり、純資産1,800円ではありません。95÷190×100＝50％です。;3:①50％②4.75％は配当性向は正しいが配当利回りを95÷2,000などで計算した誤りです。利回りの分母は株価4,750円なので、95÷4,750×100＝2％が正しい組合せになります。",配当性向＝配当÷純利益、配当利回り＝配当÷株価。それぞれ分母が異なるので取り違えに注意。
367,single,金融資産運用,FP3級;学科;実践演習;三答択;source:2025-gakka-11-v14,2025-gakka-11,"追加型株式投資信託を基準価額8,400円（１万口当たり）で１万口購入した後、最初の決算時に１万口当たり420円の収益分配金が支払われ、分配落ち後の基準価額が8,100円（１万口当たり）となった場合、その収益分配金のうち、普通分配金は（ ① ）であり、元本払戻金（特別分配金）は（ ② ）である。",,,,,,① 120円   ② 300円,① 300円   ② 120円,① 420円   ②   0円,,1,"正解は1です。分配落ち前の基準価額は8,100円＋420円＝8,520円です。個別元本8,400円を上回る120円が普通分配金、残り300円が元本払戻金（特別分配金）です。",2025年学科第11問の14問目の派生。基準価額と分配金の数値を変更した投資信託分配金の演習問題です。,"分配落ち前8,520円と個別元本8,400円の差120円が普通分配金。分配金420円の残り300円が特別分配金です。","2:①300円②120円は普通分配金と特別分配金を逆にした誤りです。個別元本を超える部分が普通分配金、超えない部分が元本払戻金（特別分配金）になる順序を確認してください。本問では120円と300円に分かれます。;3:①420円②0円は分配金すべてを普通分配金とみなした誤りです。分配落ち前基準価額が個別元本を上回るとは限らず、上回らない部分は特別分配金として扱います。8,520円－8,400円＝120円が普通分配金です。",分配落ち後＋分配金＝分配落ち前。普通分配金は個別元本を超えた利益分、超えない分は特別分配金です。
368,single,相続・事業承継,FP3級;学科;実践演習;三答択;source:2024-gakka-26-v19,2024-gakka-26,暦年課税による贈与において、Ｃさんが同年中に父から270万円、母から65万円の贈与を受けた場合、贈与税の課税価格（基礎控除後）は、 （   ）である。,,,,,,225万円,110万円,335万円,,1,正解は1です。暦年課税の基礎控除は受贈者ごとに年間110万円です。贈与額合計335万円－110万円＝225万円が課税価格です。,2024年学科第26問の19問目の派生。贈与額を入れ替えた暦年贈与の課税価格の演習問題です。,贈与合計335万円から、受贈者1人あたりの基礎控除110万円を差し引き、課税価格は225万円です。,2:110万円は基礎控除額そのものです。課税価格は贈与額合計から基礎控除110万円を差し引いた後の金額であり、110万円は控除額であって課税価格ではありません。335万円－110万円＝225万円が正解です。;3:335万円は基礎控除を差し引く前の贈与額合計です。暦年課税では年間110万円の基礎控除を課税価格から控除してから税率を適用します。335万円－110万円＝225万円が課税価格となります。,暦年贈与の基礎控除＝受贈者1人につき年110万円。贈与者の数ではなく受贈者単位です。
369,single,相続・事業承継,FP3級;学科;実践演習;三答択;source:2024-gakka-59-v8,2024-gakka-59,"貸家建付地の相続税評価額は、その自用地としての価額が1億5,500万円、借地権割合が60％、借家権割合が30％、賃貸割合が100％である場合、 （   ）となる。",,,,,,"9,300万円","1億2,710万円","1億5,500万円",,2,"正解は2です。貸家建付地の評価額は、自用地価額×(1－借地権割合×借家権割合×賃貸割合)で求めます。1億5,500万円×(1－60％×30％×100％)＝1億5,500万円×82％＝1億2,710万円です。","2024年学科第59問の8問目の派生。自用地価額1億5,500万円の貸家建付地評価の演習問題です。","1億5,500万円×(1－0.6×0.3×1)＝1億2,710万円。借地権・借家権・賃貸割合を掛け合わせてから控除します。","1:9,300万円は自用地価額に借地権割合60％だけを掛けた誤りです。貸家建付地は借地権・借家権・賃貸割合の3つを掛け合わせた割合を控除します。1億5,500万円×(1－60％×30％×100％)＝1億2,710万円が正しい計算です。;3:1億5,500万円は減額前の自用地価額そのものです。貸家建付地には借地権・借家権による減額があり、賃貸割合100％の場合は1億5,500万円×82％＝1億2,710万円が評価額となります。",貸家建付地＝自用地価額×(1－借地権割合×借家権割合×賃貸割合)。3要素を掛けてから控除すること。
370,single,相続・事業承継,FP3級;学科;実践演習;三答択;source:2024-gakka-28-v14,2024-gakka-28,"死亡したＤさんが所有していた上場株式Ｅを相続により取得した場合の１株当たりの相続税評価額は、下記の〈資料〉によれば、 （   ）である。

〈資料〉上場株式Ｅの価格
Ｄさんが死亡した月の前々月の毎日の最終価格の月平均額 ： 668円
Ｄさんが死亡した月の前月の毎日の最終価格の月平均額  ： 515円
Ｄさんが死亡した月の毎日の最終価格の月平均額     ： 602円
Ｄさんが死亡した日の最終価格             ： 586円",,,,,,515円,586円,668円,,1,正解は1です。上場株式の相続税評価額は、相続開始日の最終価格、相続開始月・前月・前々月の各月平均額のうち最も低い価額で評価します。515円が最も低いため、評価額は515円です。,2024年学科第28問の14問目の派生。月平均額と最終価格を入れ替えた上場株式評価の演習問題です。,5つの価格のうち最低額515円を採用。最終価格586円や月平均668円ではなく、最も低い価額が評価額です。,2:586円は相続開始日の最終価格です。上場株式の相続税評価は最終価格と3か月分の月平均額のうち最も低い価額を採用します。515円が最も低いため、評価額は515円となります。;3:668円は前々月の月平均額です。評価額は5つの価格のうち最も低い価額を選びます。515円・586円・602円・668円を比較すると515円が最低であり、これが相続税評価額です。,上場株式の相続税評価＝最終価格と3か月の月平均のうち最も低い価額。
371,single,金融資産運用,FP3級;学科;実践演習;三答択;source:2024-gakka-43-v25,2024-gakka-43,Ａ資産の期待収益率が6.4％、Ｂ資産の期待収益率が2.8％の場合に、Ａ資産を35％、Ｂ資産を65％の割合で組み入れたポートフォリオの期待収益率は、 （   ）である。,,,,,,4.06％,9.2％,6.4％,,1,正解は1です。Ａ資産6.4％×35％＋Ｂ資産2.8％×65％＝2.24％＋1.82％＝4.06％です。,2024年学科第43問の25問目の派生。35％・65％配分のポートフォリオ期待収益率の演習です。,6.4×0.35＋2.8×0.65＝4.06％。Ｂ資産の組入比率が65％と高いため、ポートフォリオ収益率はＢ寄りになります。,2:9.2％は6.4％と2.8％を足した値です。期待収益率は合計ではなく、各資産の期待収益率に組入比率を掛けて合計します。35％と65％を掛けたうえで足し合わせ、4.06％になることを確認してください。;3:6.4％はＡ資産の期待収益率そのものです。ポートフォリオはＢ資産も65％組み入れているため、Ａ資産の収益率だけでは全体の期待収益率は表せません。加重平均で4.06％になります。,ポートフォリオ期待収益率＝Σ(各資産の期待収益率×組入比率)。比率の大きい資産に引き寄せられます。
372,single,金融資産運用,FP3級;学科;実践演習;三答択;source:2025-gakka-42-v22,2025-gakka-42,"Ｗ社の株価が1,920円、１株当たり純利益が132円、１株当たり純資産（自己資本）が880円である場合、Ｗ社のＲＯＥは、 （   ）である。",,,,,,15％,20％,19.2倍,,1,"正解は1です。ROE＝132円÷880円×100＝15％です。株価1,920円はPERやPBRの計算に使う数値で、ROEには使いません。",2025年学科第42問の22問目の派生。数値を入れ替えたROEの演習問題です。,ROE＝132円÷880円×100＝15％。分子は純利益、分母は自己資本（純資産）であり、株価は使いません。,"2:20％は純利益を株価で割った値など、ROEの定義と異なる計算から導かれます。ROEは自己資本に対する収益性を示し、株価1,920円ではなく純資産880円を分母にします。132÷880×100＝15％が正しい計算です。;3:19.2倍はPERのように「倍」で表す指標と混同した誤りです。ROEは％で表す自己資本利益率であり、132÷880×100＝15％が正しい計算です。倍率とパーセントの単位の取り違えに注意してください。",ROEは「純利益÷純資産×100」。株価が文中に出てきてもROEでは使わない、という引っかけに注意。
373,single,金融資産運用,FP3級;学科;実践演習;三答択;source:2025-gakka-12-v24,2025-gakka-12,"Ｈ社の株価が3,060円、１株当たり純利益が102円である場合、Ｈ社のＰＥＲ（株価収益率）は、 （   ）である。",,,,,,25倍,30倍,102倍,,2,"正解は2です。PER＝3,060円÷102円＝30倍です。株価を1株当たり純利益で割ります。",2025年学科第12問の24問目の派生。PERを求める演習問題です。,"PER＝3,060円÷102円＝30倍。株価を1株当たり純利益で割ります。","1:25倍は純利益の2倍で割るなど、計算式を誤った場合の値です。PERは株価÷純利益であり、3,060円÷102円＝30倍が正しい計算です。純資産はPBRの計算に使う数値で、PERでは使いません。;3:102倍は純利益の数値（102円）をそのまま倍率と混同した誤りです。株価3,060円を純利益102円で割ると30倍になります。分子は株価、分母は純利益です。PERやROEとは公式が異なる点に注意してください。",PER＝株価÷純利益。ROEやPBRと分母が異なるので、指標ごとに分子・分母を整理して覚えましょう。
374,single,金融資産運用,FP3級;学科;実践演習;三答択;source:2024-gakka-12-v23,2024-gakka-12,"Ｊ社の株価が1,890円、１株当たり純資産（自己資本）が420円である場合、Ｊ社のＰＢＲ（株価純資産倍率）は、 （   ）である。",,,,,,3.5倍,4.5倍,1.89倍,,2,"正解は2です。PBR＝1,890円÷420円＝4.5倍です。株価を1株当たり純資産で割ります。",2024年学科第12問の23問目の派生。株価と純資産の数値を入れ替えたPBRの演習問題です。,"PBR＝1,890円÷420円＝4.5倍。株価を1株当たり純資産（自己資本）で割ります。","1:3.5倍は純資産の2倍で割るなど、計算式を誤った場合の値です。PBRは株価÷純資産であり、1,890円÷420円＝4.5倍が正しい計算です。純利益はPERの計算に使う数値です。;3:1.89倍は株価の数値（1,890円）をそのまま倍率と混同した誤りです。PBRは株価を純資産で割った商であり、1,890÷420＝4.5倍が正しい計算です。PERやROEとは公式が異なる点に注意してください。",PBR＝株価÷純資産。数値が変わっても公式は同じです。
375,single,金融資産運用,FP3級;学科;実践演習;三答択;source:2026-gakka-11-v30,2026-gakka-11,表面利率（クーポンレート）2.8％、残存期間5年の固定利付債券を額面100円当たり97円で購入した場合の最終利回り（年率・単利）は、 （   ）である。なお、税金等は考慮しないものとし、計算結果は表示単位の小数点以下第3位を四捨五入している。,,,,,,3.51％,2.80％,3.00％,,1,正解は1です。{2.8円＋(100円－97円)÷5年}÷97円×100＝約3.505％となり、小数点以下第3位を四捨五入して3.51％です。,2026年学科第11問の30問目の派生。ディスカウント購入・残存5年の債券最終利回りの演習問題です。,{2.8＋(100－97)÷5}÷97×100≒3.505％→3.51％。購入価格が額面を下回ると償還差益が利回りを押し上げます。,2:2.80％は表面利率そのもので、購入価格97円が額面と異なる場合の償還差益を反映していません。最終利回りは購入価格97円を分母にし、{2.8＋(100－97)÷5}÷97×100で計算します。;3:3.00％は償還差益の按分を誤った場合や、分母に額面100円を使った誤りで出やすい値です。式どおり計算すると3.505％となり、第3位を四捨五入して3.51％が正しい最終利回りです。,最終利回り＝{表面利率＋(額面－購入価格)÷残存期間}÷購入価格×100。ディスカウント購入では利回り上昇。
376,single,金融資産運用,FP3級;学科;実践演習;三答択;source:2026-gakka-12-v19,2026-gakka-12,"下記の〈Ｓ社のデータ〉に基づいて計算したＳ社の配当性向は（ ① ）、配当利回りは（ ② ）である。

〈Ｓ社のデータ〉
株価　　　　　： 3,800円
１株当たり配当金： 76円
１株当たり純利益： 152円
１株当たり純資産　： 950円",,,,,,① 40％   ②  2％,① 50％   ②  2％,① 50％   ②  3.8％,,2,"正解は2です。配当性向は76円÷152円×100＝50％です。配当利回りは76円÷3,800円×100＝2％です。",2026年学科第12問の19問目の派生。Ｓ社データで配当性向・配当利回りを求める演習問題です。,"配当性向＝76÷152×100＝50％。配当利回り＝76÷3,800×100＝2％。①50％②2％が正しい組合せです。","1:①40％②2％は配当性向を純資産950円で割るなど、分母の取り違えで生じやすい誤りです。配当性向の分母は純利益152円であり、純資産950円ではありません。76÷152×100＝50％です。;3:①50％②3.8％は配当性向は正しいが配当利回りを76÷2,000などで計算した誤りです。利回りの分母は株価3,800円なので、76÷3,800×100＝2％が正しい組合せになります。",配当性向＝配当÷純利益、配当利回り＝配当÷株価。それぞれ分母が異なるので取り違えに注意。
377,single,金融資産運用,FP3級;学科;実践演習;三答択;source:2025-gakka-11-v15,2025-gakka-11,"追加型株式投資信託を基準価額7,500円（１万口当たり）で１万口購入した後、最初の決算時に１万口当たり350円の収益分配金が支払われ、分配落ち後の基準価額が7,280円（１万口当たり）となった場合、その収益分配金のうち、普通分配金は（ ① ）であり、元本払戻金（特別分配金）は（ ② ）である。",,,,,,① 130円   ② 220円,① 220円   ② 130円,① 350円   ②   0円,,1,"正解は1です。分配落ち前の基準価額は7,280円＋350円＝7,630円です。個別元本7,500円を上回る130円が普通分配金、残り220円が元本払戻金（特別分配金）です。",2025年学科第11問の15問目の派生。基準価額と分配金の数値を変更した投資信託分配金の演習問題です。,"分配落ち前7,630円と個別元本7,500円の差130円が普通分配金。分配金350円の残り220円が特別分配金です。","2:①220円②130円は普通分配金と特別分配金を逆にした誤りです。個別元本を超える部分が普通分配金、超えない部分が元本払戻金（特別分配金）になる順序を確認してください。本問では130円と220円に分かれます。;3:①350円②0円は分配金すべてを普通分配金とみなした誤りです。分配落ち前基準価額が個別元本を上回るとは限らず、上回らない部分は特別分配金として扱います。7,630円－7,500円＝130円が普通分配金です。",分配落ち後＋分配金＝分配落ち前。普通分配金は個別元本を超えた利益分、超えない分は特別分配金です。
378,single,相続・事業承継,FP3級;学科;実践演習;三答択;source:2024-gakka-26-v20,2024-gakka-26,暦年課税による贈与において、Ｂさんが同年中に父から195万円、母から80万円の贈与を受けた場合、贈与税の課税価格（基礎控除後）は、 （   ）である。,,,,,,165万円,110万円,275万円,,1,正解は1です。暦年課税の基礎控除は受贈者ごとに年間110万円です。贈与額合計275万円－110万円＝165万円が課税価格です。,2024年学科第26問の20問目の派生。贈与額を入れ替えた暦年贈与の課税価格の演習問題です。,贈与合計275万円から、受贈者1人あたりの基礎控除110万円を差し引き、課税価格は165万円です。,2:110万円は基礎控除額そのものです。課税価格は贈与額合計から基礎控除110万円を差し引いた後の金額であり、110万円は控除額であって課税価格ではありません。275万円－110万円＝165万円が正解です。;3:275万円は基礎控除を差し引く前の贈与額合計です。暦年課税では年間110万円の基礎控除を課税価格から控除してから税率を適用します。275万円－110万円＝165万円が課税価格となります。,暦年贈与の基礎控除＝受贈者1人につき年110万円。贈与者の数ではなく受贈者単位です。
379,single,相続・事業承継,FP3級;学科;実践演習;三答択;source:2024-gakka-59-v9,2024-gakka-59,"貸家建付地の相続税評価額は、その自用地としての価額が1億2,000万円、借地権割合が70％、借家権割合が30％、賃貸割合が100％である場合、 （   ）となる。",,,,,,"8,400万円","9,480万円","1億2,000万円",,2,"正解は2です。貸家建付地の評価額は、自用地価額×(1－借地権割合×借家権割合×賃貸割合)で求めます。1億2,000万円×(1－70％×30％×100％)＝1億2,000万円×79％＝9,480万円です。",2024年学科第59問の9問目の派生。借地権割合70％の貸家建付地評価の演習問題です。,"1億2,000万円×(1－0.7×0.3×1)＝9,480万円。借地権・借家権・賃貸割合を掛け合わせてから控除します。","1:8,400万円は自用地価額に借地権割合70％だけを掛けた誤りです。貸家建付地は借地権・借家権・賃貸割合の3つを掛け合わせた割合を控除します。1億2,000万円×(1－70％×30％×100％)＝9,480万円が正しい計算です。;3:1億2,000万円は減額前の自用地価額そのものです。貸家建付地には借地権・借家権による減額があり、賃貸割合100％の場合は1億2,000万円×79％＝9,480万円が評価額となります。",貸家建付地＝自用地価額×(1－借地権割合×借家権割合×賃貸割合)。3要素を掛けてから控除すること。
380,single,相続・事業承継,FP3級;学科;実践演習;三答択;source:2024-gakka-28-v15,2024-gakka-28,"死亡したＥさんが所有していた上場株式Ｆを相続により取得した場合の１株当たりの相続税評価額は、下記の〈資料〉によれば、 （   ）である。

〈資料〉上場株式Ｆの価格
Ｅさんが死亡した月の前々月の毎日の最終価格の月平均額 ： 720円
Ｅさんが死亡した月の前月の毎日の最終価格の月平均額  ： 498円
Ｅさんが死亡した月の毎日の最終価格の月平均額     ： 580円
Ｅさんが死亡した日の最終価格             ： 545円",,,,,,498円,545円,720円,,1,正解は1です。上場株式の相続税評価額は、相続開始日の最終価格、相続開始月・前月・前々月の各月平均額のうち最も低い価額で評価します。498円が最も低いため、評価額は498円です。,2024年学科第28問の15問目の派生。月平均額と最終価格を入れ替えた上場株式評価の演習問題です。,5つの価格のうち最低額498円を採用。最終価格545円や月平均720円ではなく、最も低い価額が評価額です。,2:545円は相続開始日の最終価格です。上場株式の相続税評価は最終価格と3か月分の月平均額のうち最も低い価額を採用します。498円が最も低いため、評価額は498円となります。;3:720円は前々月の月平均額です。評価額は5つの価格のうち最も低い価額を選びます。498円・545円・580円・720円を比較すると498円が最低であり、これが相続税評価額です。,上場株式の相続税評価＝最終価格と3か月の月平均のうち最も低い価額。
381,single,金融資産運用,FP3級;学科;実践演習;三答択;source:2024-gakka-43-v26,2024-gakka-43,Ａ資産の期待収益率が5.2％、Ｂ資産の期待収益率が9.6％の場合に、Ａ資産を45％、Ｂ資産を55％の割合で組み入れたポートフォリオの期待収益率は、 （   ）である。,,,,,,7.62％,14.8％,9.6％,,1,正解は1です。Ａ資産5.2％×45％＋Ｂ資産9.6％×55％＝2.34％＋5.28％＝7.62％です。,2024年学科第43問の26問目の派生。45％・55％配分のポートフォリオ期待収益率の演習です。,5.2×0.45＋9.6×0.55＝7.62％。Ｂ資産の組入比率が55％と高いため、ポートフォリオ収益率はＢ寄りになります。,2:14.8％は5.2％と9.6％を足した値です。期待収益率は合計ではなく、各資産の期待収益率に組入比率を掛けて合計します。45％と55％を掛けたうえで足し合わせ、7.62％になることを確認してください。;3:9.6％はＢ資産の期待収益率そのものです。ポートフォリオはＡ資産も45％組み入れているため、Ｂ資産の収益率だけでは全体の期待収益率は表せません。加重平均で7.62％になります。,ポートフォリオ期待収益率＝Σ(各資産の期待収益率×組入比率)。比率の大きい資産に引き寄せられます。
382,single,金融資産運用,FP3級;学科;実践演習;三答択;source:2025-gakka-42-v23,2025-gakka-42,"Ｘ社の株価が2,100円、１株当たり純利益が147円、１株当たり純資産（自己資本）が1,050円である場合、Ｘ社のＲＯＥは、 （   ）である。",,,,,,14％,21％,21.0倍,,1,"正解は1です。ROE＝147円÷1,050円×100＝14％です。株価2,100円はPERやPBRの計算に使う数値で、ROEには使いません。",2025年学科第42問の23問目の派生。数値を入れ替えたROEの演習問題です。,"ROE＝147円÷1,050円×100＝14％。分子は純利益、分母は自己資本（純資産）であり、株価は使いません。","2:21％は純利益を株価で割った値など、ROEの定義と異なる計算から導かれます。ROEは自己資本に対する収益性を示し、株価2,100円ではなく純資産1,050円を分母にします。147÷1,050×100＝14％が正しい計算です。;3:21.0倍はPERのように「倍」で表す指標と混同した誤りです。ROEは％で表す自己資本利益率であり、147÷1,050×100＝14％が正しい計算です。倍率とパーセントの単位の取り違えに注意してください。",ROEは「純利益÷純資産×100」。株価が文中に出てきてもROEでは使わない、という引っかけに注意。
383,single,金融資産運用,FP3級;学科;実践演習;三答択;source:2025-gakka-12-v25,2025-gakka-12,"Ｋ社の株価が3,456円、１株当たり純利益が108円である場合、Ｋ社のＰＥＲ（株価収益率）は、 （   ）である。",,,,,,28倍,32倍,108倍,,2,"正解は2です。PER＝3,456円÷108円＝32倍です。株価を1株当たり純利益で割ります。",2025年学科第12問の25問目の派生。PERを求める演習問題です。,"PER＝3,456円÷108円＝32倍。株価を1株当たり純利益で割ります。","1:28倍は純利益の2倍で割るなど、計算式を誤った場合の値です。PERは株価÷純利益であり、3,456円÷108円＝32倍が正しい計算です。純資産はPBRの計算に使う数値で、PERでは使いません。;3:108倍は純利益の数値（108円）をそのまま倍率と混同した誤りです。株価3,456円を純利益108円で割ると32倍になります。分子は株価、分母は純利益です。PERやROEとは公式が異なる点に注意してください。",PER＝株価÷純利益。ROEやPBRと分母が異なるので、指標ごとに分子・分母を整理して覚えましょう。
384,single,金融資産運用,FP3級;学科;実践演習;三答択;source:2024-gakka-12-v24,2024-gakka-12,"Ｌ社の株価が1,680円、１株当たり純資産（自己資本）が480円である場合、Ｌ社のＰＢＲ（株価純資産倍率）は、 （   ）である。",,,,,,2.5倍,3.5倍,1.68倍,,2,"正解は2です。PBR＝1,680円÷480円＝3.5倍です。株価を1株当たり純資産で割ります。",2024年学科第12問の24問目の派生。株価と純資産の数値を入れ替えたPBRの演習問題です。,"PBR＝1,680円÷480円＝3.5倍。株価を1株当たり純資産（自己資本）で割ります。","1:2.5倍は純資産の2倍で割るなど、計算式を誤った場合の値です。PBRは株価÷純資産であり、1,680円÷480円＝3.5倍が正しい計算です。純利益はPERの計算に使う数値です。;3:1.68倍は株価の数値（1,680円）をそのまま倍率と混同した誤りです。PBRは株価を純資産で割った商であり、1,680÷480＝3.5倍が正しい計算です。PERやROEとは公式が異なる点に注意してください。",PBR＝株価÷純資産。数値が変わっても公式は同じです。
385,single,金融資産運用,FP3級;学科;実践演習;三答択;source:2026-gakka-11-v31,2026-gakka-11,表面利率（クーポンレート）3.2％、残存期間4年の固定利付債券を額面100円当たり95円で購入した場合の最終利回り（年率・単利）は、 （   ）である。なお、税金等は考慮しないものとし、計算結果は表示単位の小数点以下第3位を四捨五入している。,,,,,,4.68％,3.20％,5.00％,,1,正解は1です。{3.2円＋(100円－95円)÷4年}÷95円×100＝約4.684％となり、小数点以下第3位を四捨五入して4.68％です。,2026年学科第11問の31問目の派生。ディスカウント購入・残存4年の債券最終利回りの演習問題です。,{3.2＋(100－95)÷4}÷95×100≒4.684％→4.68％。購入価格が額面を下回ると償還差益が利回りを押し上げます。,2:3.20％は表面利率そのもので、購入価格95円が額面と異なる場合の償還差益を反映していません。最終利回りは購入価格95円を分母にし、{3.2＋(100－95)÷4}÷95×100で計算します。;3:5.00％は償還差益の按分を誤った場合や、分母に額面100円を使った誤りで出やすい値です。式どおり計算すると4.684％となり、第3位を四捨五入して4.68％が正しい最終利回りです。,最終利回り＝{表面利率＋(額面－購入価格)÷残存期間}÷購入価格×100。ディスカウント購入では利回り上昇。
386,single,金融資産運用,FP3級;学科;実践演習;三答択;source:2026-gakka-12-v20,2026-gakka-12,"下記の〈Ｔ社のデータ〉に基づいて計算したＴ社の配当性向は（ ① ）、配当利回りは（ ② ）である。

〈Ｔ社のデータ〉
株価　　　　　： 4,200円
１株当たり配当金： 84円
１株当たり純利益： 168円
１株当たり純資産　： 1,400円",,,,,,① 40％   ②  2％,① 50％   ②  2％,① 50％   ②  4.2％,,2,"正解は2です。配当性向は84円÷168円×100＝50％です。配当利回りは84円÷4,200円×100＝2％です。",2026年学科第12問の20問目の派生。Ｔ社データで配当性向・配当利回りを求める演習問題です。,"配当性向＝84÷168×100＝50％。配当利回り＝84÷4,200×100＝2％。①50％②2％が正しい組合せです。","1:①40％②2％は配当性向を純資産1,400円で割るなど、分母の取り違えで生じやすい誤りです。配当性向の分母は純利益168円であり、純資産1,400円ではありません。84÷168×100＝50％です。;3:①50％②4.2％は配当性向は正しいが配当利回りを84÷2,000などで計算した誤りです。利回りの分母は株価4,200円なので、84÷4,200×100＝2％が正しい組合せになります。",配当性向＝配当÷純利益、配当利回り＝配当÷株価。それぞれ分母が異なるので取り違えに注意。
387,single,金融資産運用,FP3級;学科;実践演習;三答択;source:2025-gakka-11-v16,2025-gakka-11,"追加型株式投資信託を基準価額8,200円（１万口当たり）で１万口購入した後、最初の決算時に１万口当たり410円の収益分配金が支払われ、分配落ち後の基準価額が7,920円（１万口当たり）となった場合、その収益分配金のうち、普通分配金は（ ① ）であり、元本払戻金（特別分配金）は（ ② ）である。",,,,,,① 130円   ② 280円,① 280円   ② 130円,① 410円   ②   0円,,1,"正解は1です。分配落ち前の基準価額は7,920円＋410円＝8,330円です。個別元本8,200円を上回る130円が普通分配金、残り280円が元本払戻金（特別分配金）です。",2025年学科第11問の16問目の派生。基準価額と分配金の数値を変更した投資信託分配金の演習問題です。,"分配落ち前8,330円と個別元本8,200円の差130円が普通分配金。分配金410円の残り280円が特別分配金です。","2:①280円②130円は普通分配金と特別分配金を逆にした誤りです。個別元本を超える部分が普通分配金、超えない部分が元本払戻金（特別分配金）になる順序を確認してください。本問では130円と280円に分かれます。;3:①410円②0円は分配金すべてを普通分配金とみなした誤りです。分配落ち前基準価額が個別元本を上回るとは限らず、上回らない部分は特別分配金として扱います。8,330円－8,200円＝130円が普通分配金です。",分配落ち後＋分配金＝分配落ち前。普通分配金は個別元本を超えた利益分、超えない分は特別分配金です。
